Length(mm) ,Width(mm),Freq (GHz),S11(dB)
2.931,3.6488,32.5,-14.25956
2.93,3.6477,32.51,-14.29245
2.929,3.6465,32.52,-14.32534
2.928,3.6454,32.53,-14.35823
2.927,3.6443,32.54,-14.39112
2.926,3.6432,32.55,-14.42401
2.926,3.642,32.56,-14.4569
2.925,3.6409,32.57,-14.48979
2.924,3.6398,32.58,-14.52268
2.923,3.6387,32.59,-14.55557
2.922,3.6376,32.6,-14.58846
2.921,3.6364,32.61,-14.62135
2.92,3.6353,32.62,-14.65424
2.919,3.6342,32.63,-14.68713
2.918,3.6331,32.64,-14.72002
2.917,3.6319,32.65,-14.75291
2.916,3.6308,32.66,-14.7858
2.915,3.6297,32.67,-14.81869
2.914,3.6286,32.68,-14.85158
2.913,3.6275,32.69,-14.88447
2.912,3.6263,32.7,-14.91736
2.911,3.6252,32.71,-14.95025
2.91,3.6241,32.72,-14.98314
2.909,3.623,32.73,-15.01603
2.908,3.6218,32.74,-15.04892
2.907,3.6207,32.75,-15.08181
2.906,3.6196,32.76,-15.1147
2.905,3.6185,32.77,-15.14759
2.904,3.6174,32.78,-15.18048
2.903,3.6162,32.79,-15.21337
2.902,3.6151,32.8,-15.24626
2.901,3.614,32.81,-15.27915
2.9,3.6129,32.82,-15.31204
2.899,3.6117,32.83,-15.34493
2.898,3.6106,32.84,-15.37782
2.897,3.6095,32.85,-15.41071
2.896,3.6084,32.86,-15.4436
2.895,3.6073,32.87,-15.47649
2.895,3.6061,32.88,-15.50938
2.894,3.605,32.89,-15.54227
2.893,3.6039,32.9,-15.57516
2.892,3.6028,32.91,-15.60805
2.891,3.6016,32.92,-15.64094
2.89,3.6005,32.93,-15.67383
2.889,3.5994,32.94,-15.70672
2.888,3.5983,32.95,-15.73961
2.887,3.5972,32.96,-15.7725
2.886,3.596,32.97,-15.80539
2.885,3.5949,32.98,-15.83828
2.884,3.5938,32.99,-15.87117
2.883,3.5927,33,-15.90406
2.882,3.5915,33.01,-15.93695
2.881,3.5904,33.02,-15.96984
2.88,3.5893,33.03,-16.00273
2.879,3.5882,33.04,-16.03562
2.878,3.5871,33.05,-10.28821
2.877,3.5859,33.06,-10.3211
2.876,3.5848,33.07,-10.35399
2.875,3.5837,33.08,-10.38688
2.874,3.5826,33.09,-10.41977
2.873,3.5814,33.1,-10.45266
2.872,3.5803,33.11,-10.48555
2.871,3.5792,33.12,-10.51844
2.87,3.5781,33.13,-10.55133
2.869,3.577,33.14,-10.58422
2.868,3.5758,33.15,-10.61711
2.867,3.5747,33.16,-10.65
2.866,3.5736,33.17,-10.68289
2.865,3.5725,33.18,-10.71578
2.864,3.5713,33.19,-10.74867
2.864,3.5702,33.2,-10.78156
2.863,3.5691,33.21,-10.81445
2.862,3.568,33.22,-10.84734
2.861,3.5668,33.23,-10.88023
2.86,3.5657,33.24,-10.91312
2.859,3.5646,33.25,-10.94601
2.858,3.5635,33.26,-10.9789
2.857,3.5624,33.27,-11.01179
2.856,3.5612,33.28,-11.04468
2.855,3.5601,33.29,-11.07757
2.854,3.559,33.3,-11.11046
2.853,3.5579,33.31,-11.14335
2.852,3.5567,33.32,-11.17624
2.851,3.5556,33.33,-11.20913
2.85,3.5545,33.34,-11.24202
2.849,3.5534,33.35,-11.27491
2.848,3.5523,33.36,-11.3078
2.847,3.5511,33.37,-11.34069
2.846,3.55,33.38,-11.37358
2.845,3.5489,33.39,-11.40647
2.844,3.5478,33.4,-11.43936
2.843,3.5466,33.41,-11.47225
2.842,3.5455,33.42,-11.50514
2.841,3.5444,33.43,-11.53803
2.84,3.5433,33.44,-11.57092
2.839,3.5422,33.45,-11.60381
2.838,3.541,33.46,-11.6367
2.837,3.5399,33.47,-11.66959
2.836,3.5388,33.48,-11.70248
2.835,3.5377,33.49,-11.73537
2.834,3.5365,33.5,-11.76826
2.833,3.5354,33.51,-11.80115
2.833,3.5343,33.52,-11.83404
2.832,3.5332,33.53,-11.86693
2.831,3.5321,33.54,-11.89982
2.83,3.5309,33.55,-11.93271
2.829,3.5298,33.56,-11.9656
2.828,3.5287,33.57,-11.99849
2.827,3.5276,33.58,-12.03138
2.826,3.5264,33.59,-12.06427
2.825,3.5253,33.6,-12.09716
2.824,3.5242,33.61,-12.13005
2.823,3.5231,33.62,-12.16294
2.822,3.522,33.63,-12.19583
2.821,3.5208,33.64,-12.22872
2.82,3.5197,33.65,-12.26161
2.819,3.5186,33.66,-12.2945
2.818,3.5175,33.67,-12.32739
2.817,3.5163,33.68,-12.50288
2.816,3.5152,33.69,-13.87372
2.815,3.5141,33.7,-15.49452
2.814,3.513,33.71,-17.46352
2.813,3.5119,33.72,-19.95182
2.812,3.5107,33.73,-23.28102
2.811,3.5096,33.74,-27.97189
